word,pinyin,meaning_en,level,category,cky_mandatory
同情,tóng qíng,to sympathize with,L1,心理,⭐
複雜,fù zá,complicated,L2,心理,⭐
急躁,jí zào,irritable,L2,心理,⭐
戰戰兢兢,zhàn zhàn jīng jīng,trembling with fear,L4,心理,⭐
擁擠,yōng jǐ,crowded,L3,動作,⭐
懷抱,huái bào,to hug,L3,動作,⭐
栽種,zāi zhòng,to plant,L3,動作,⭐
狼狽,láng bèi,in a difficult situation,L1,動作,⭐
辯論,biàn lùn,debate,L3,科技知識,⭐
愛惜,ài xī,to cherish,L1,人生哲理,⭐
收拾,shōu shi,to put in order,L1,人生哲理,⭐
檢查,jiǎn chá,inspection,L1,人生哲理,⭐
清潔,qīng jié,clean,L1,人生哲理,⭐
準備,zhǔn bèi,preparation,L1,人生哲理,⭐
煩惱,fán nǎo,to be worried,L1,人生哲理,⭐
牆壁,qiáng bì,wall,L4,地點景物,⭐
陡峭,dǒu qiào,precipitous,L3,地點景物,⭐
籠罩,lǒng zhào,to envelop,L3,天文氣象,⭐
喜新厭舊,xǐ xīn yàn jiù,lit. to like the new,L3,性格,⭐
堅持不懈,jiān chí bù xiè,to persevere unremittingly,L3,性格,⭐
明辨是非,míng biàn shì fēi,to distinguish right and wrong,L3,性格,⭐
樂善好施,lè shàn hào shī,kind and charitable,L4,性格,⭐
贊同,zàn tóng,to approve of,L3,動作,⭐
命令,mìng lìng,order,L1,動作,⭐
喚醒,huàn xǐng,to wake sb,L3,動作,⭐
嘲笑,cháo xiào,to jeer at,L3,動作,⭐
津津有味,jīn jīn yǒu wèi,with keen interest,L3,動作,⭐
游說,yóu shuì,persuade; lobby,L3,動作,⭐
目睹,mù dǔ,to witness,L4,動作,⭐
虎視眈眈,hǔ shì dān dān,to glare like a tiger watching his prey,L4,動作,⭐
聆聽,líng tīng,to listen,L1,動作,⭐
蒼白,cāng bái,pale,L3,外貌,⭐
粗糙,cū cāo,crude,L3,外貌,⭐
肥胖,féi pàng,fat,L1,外貌,⭐
佩服,pèi fú,to admire,L4,人生哲理,⭐
堅持,jiān chí,to persevere with,L2,人生哲理,⭐
改變,gǎi biàn,to change,L1,人生哲理,⭐
目標,mù biāo,target,L2,人生哲理,⭐
醒悟,xǐng wù,to come to oneself,L4,人生哲理,⭐
錯過,cuò guò,to miss,L1,人生哲理,⭐
寬敞,kuān chang,spacious,L3,地點景物,⭐
安全,ān quán,safe,L1,物品,⭐
傲慢,ào màn,arrogant,L3,性格,⭐
欺騙,qī piàn,to deceive,L3,性格,⭐
一本正經,yī běn zhèng jīng,in deadly earnest,L3,性格,⭐
寂寞,jì mò,lonely,L3,心理,⭐
羞愧,xiū kuì,ashamed,L3,心理,⭐
召集,zhào jí,to convene,L3,動作,⭐
嘗試,cháng shì,to try,L3,動作,⭐
陪伴,péi bàn,to accompany,L2,動作,⭐
掌握,zhǎng wò,to grasp,L3,動作,⭐
不約而同,bù yuē ér tóng,to take the same action without prior consultation,L3,動作,⭐
舉辦,jǔ bàn,to conduct,L3,動作,⭐
滿臉通紅,mǎn liǎn tōng hóng,face flushed red,L1,動作,⭐
裝模作樣,zhuāng mó zuò yàng,to put on an act,L2,動作,⭐
小心翼翼,xiǎo xīn yì yì,cautious and solemn,L3,動作,⭐
炯炯有神,jiǒng jiǒng yǒu shén,eyes bright and full of expression,L2,外貌,⭐
噪音,zào yīn,rumble,L2,環境保護,⭐
垃圾,lā jī,trash,L1,環境保護,⭐
栽培,zāi péi,to grow,L3,科技知識,⭐
組織,zǔ zhī,to organize,L3,科技知識,⭐
規律,guī lǜ,rule,L3,科技知識,⭐
解釋,jiě shì,explanation,L3,科技知識,⭐
分享,fēn xiǎng,to share,L1,科技知識,⭐
製造,zhì zào,to manufacture,L2,科技知識,⭐
狹窄,xiá zhǎi,narrow,L3,地點景物,⭐
寒風刺骨,hán fēng cì gǔ,bone chilling wind,L3,四季,⭐
香噴噴,xiāng pēn pēn,delicious,L3,物品,⭐
閃亮,shǎn liàng,brilliant,L1,物品,⭐
平凡,píng fán,commonplace,L3,物品,⭐
模仿,mó fǎng,to imitate,L3,動物,⭐
盤旋,pán xuán,to spiral,L3,動物,⭐
勇猛,yǒng měng,bold and powerful,L2,動物,⭐
堅定,jiān dìng,firm,L2,性格,⭐
辛勞,xīn láo,laborious,L1,性格,⭐
傷心,shāng xīn,to grieve,L1,心理,⭐
喜悅,xǐ yuè,happy,L2,心理,⭐
扔,rēng,to throw,L2,動作,⭐
吩咐,fēn fu,to tell,L2,動作,⭐
呼喚,hū huàn,to call out,L2,動作,⭐
稱讚,chēng zàn,to praise,L2,動作,⭐
胡言亂語,hú yán luàn yǔ,babbling nonsense,L2,動作,⭐
凝視,níng shì,to gaze at,L2,動作,⭐
保護,bǎo hù,to protect,L1,動作,⭐
休息,xiū xi,rest,L1,動作,⭐
注意,zhù yì,to take note of,L1,動作,⭐
道別,dào bié,to say goodbye,L1,動作,⭐
外婆,wài pó,mother's mother,L1,人物,⭐
編輯,biān jí,to edit,L2,人物,⭐
海洋,hǎi yáng,ocean,L1,環境保護,⭐
破壞,pò huài,destruction,L1,環境保護,⭐
打雷,dǎ léi,to rumble with thunder,L1,四季,⭐
寒冷,hán lěng,cold,L1,四季,⭐
溫暖,wēn nuǎn,warm,L1,四季,⭐
蜜蜂,mì fēng,bee,L1,四季,⭐
蝴蝶,hú dié,butterfly,L1,四季,⭐
青蛙,qīng wā,frog (,L1,四季,⭐
收穫,shōu huò,to harvest,L2,四季,⭐
尖銳,jiān ruì,sharp,L2,物品,⭐
精彩,jīng cǎi,wonderful,L1,物品,⭐
